n,POS,NEG,ratio
1,142,90,0.6120689655
2,384,157,0.7097966728
3,65,13,0.8333333333
4,174,64,0.731092437
5,279,73,0.7926136364
6,18,4,0.8181818182
7,200,102,0.6622516556
8,16,0,1
9,250,42,0.8561643836
10,72,62,0.5373134328
11,330,19,0.9455587393
12,291,76,0.7929155313
13,9,9,0.5
14,13,189,0.0643564356
15,57,26,0.686746988
16,36,13,0.7346938776
17,149,6,0.9612903226
18,21,2,0.9130434783
19,74,20,0.7872340426
20,211,3,0.9859813084
21,127,22,0.8523489933
22,49,12,0.8032786885
23,106,25,0.8091603053
24,215,40,0.8431372549
25,2,0,1
26,51,18,0.7391304348
27,87,15,0.8529411765
28,4,1,0.8
29,45,4,0.9183673469
30,19,5,0.7916666667
31,113,3,0.974137931
32,93,68,0.5776397516
34,229,0,1
35,30,19,0.612244898
36,231,74,0.7573770492
37,25,50,0.3333333333
38,12,0,1
39,53,29,0.6463414634
40,41,21,0.6612903226
42,222,49,0.8191881919
44,76,11,0.8735632184
46,187,52,0.7824267782
47,8,5,0.6153846154
48,28,25,0.5283018868
49,362,83,0.8134831461
50,70,22,0.7608695652
51,15,11,0.5769230769
52,387,10,0.9748110831
53,19,8,0.7037037037
54,210,27,0.8860759494
55,26,2,0.9285714286
57,25,8,0.7575757576
58,120,19,0.8633093525
59,3,12,0.2
60,25,9,0.7352941176
61,4,1,0.8
62,39,1,0.975
63,317,5,0.9844720497
64,183,43,0.8097345133
65,42,21,0.6666666667
66,343,64,0.8427518428
67,152,7,0.9559748428
68,243,15,0.9418604651
69,16,2,0.8888888889
70,172,1,0.9942196532
71,54,1,0.9818181818
72,77,21,0.7857142857
73,159,14,0.9190751445
74,106,61,0.6347305389
75,214,29,0.8806584362
76,242,36,0.8705035971
77,648,68,0.905027933
78,28,7,0.8
79,117,41,0.7405063291
80,311,94,0.7679012346
81,9,2,0.8181818182
82,22,16,0.5789473684
83,16,3,0.8421052632
84,26,36,0.4193548387
85,336,137,0.710359408
86,84,5,0.9438202247
87,38,249,0.1324041812
88,104,45,0.6979865772
89,276,103,0.72823219
90,212,39,0.8446215139
91,326,26,0.9261363636
93,124,3,0.9763779528
94,7,1,0.875
95,231,173,0.5717821782
96,41,58,0.4141414141
97,10,4,0.7142857143
98,23,2,0.92
99,628,14,0.9781931464
100,57,2,0.9661016949
102,148,89,0.6244725738
104,9,19,0.3214285714
105,27,136,0.1656441718
106,6,2,0.75
107,130,114,0.5327868852
108,207,17,0.9241071429
109,78,14,0.847826087
110,84,139,0.3766816143
111,21,14,0.6
112,24,50,0.3243243243
113,14,0,1
114,86,13,0.8686868687
115,380,36,0.9134615385
116,113,84,0.5736040609
118,230,56,0.8041958042
119,32,18,0.64
121,11,0,1
122,69,5,0.9324324324
123,10,1,0.9090909091
124,202,36,0.8487394958
125,61,6,0.9104477612
126,105,10,0.9130434783
127,58,20,0.7435897436
128,20,5,0.8
130,274,167,0.6213151927
131,3,49,0.0576923077
132,172,37,0.8229665072
133,82,15,0.8453608247
134,3,21,0.125
135,34,29,0.5396825397
136,201,42,0.8271604938
137,174,25,0.8743718593
138,58,5,0.9206349206
139,133,56,0.7037037037
140,82,43,0.656
141,368,13,0.9658792651
142,16,41,0.2807017544
143,8,2,0.8
144,408,51,0.8888888889
145,116,43,0.7295597484
146,289,79,0.785326087
147,24,122,0.1643835616
148,11,4,0.7333333333
149,225,63,0.78125
150,28,0,1
151,83,8,0.9120879121
152,140,15,0.9032258065
153,165,17,0.9065934066
154,60,43,0.5825242718
155,512,5,0.9903288201
156,119,74,0.6165803109
158,32,14,0.6956521739
159,87,114,0.4328358209
160,235,40,0.8545454545
161,41,13,0.7592592593
162,80,15,0.8421052632
163,168,4,0.976744186
164,212,7,0.9680365297
165,313,33,0.9046242775
,,,0.7562939147
